"","soc_uni","soc","original_title","new_occ_title","new_occ_description","new_occ_word","new_occ_definition"
"182","15-1151","15-1151.00","Computer User Support Specialists","Techs help computer users. They fix problems and answer questions. They work with hardware, software, printers, email, and more. Some help people in person. Others offer help over the phone or online.","Techs help computer users. They fix problems and answer questions. They work with hardware, software, printers, email, and more. Some help people in person. Others offer help over the phone or online.","Tech","Short for technician."
"183","17-3027","17-3027.00","Mechanical Engineering Technicians","Techs use the main ideas of mechanical engineering. They build, test, and set machines. They work for engineering staff or physical scientists.","Techs use the main ideas of mechanical engineering. They build, test, and set machines. They work for engineering staff or physical scientists.","Mechanical","Having to do with machines."
"184","19-4031","19-4031.00","Chemical Technicians","Lab techs do chemical testing. They test solids, liquids, and gases. They help scientists. They do research. They think of new products or new ways of doing things. They check quality and standards. They use chemistry and other sciences.","Lab techs do chemical testing. They test solids, liquids, and gases. They help scientists. They do research. They think of new products or new ways of doing things. They check quality and standards. They use chemistry and other sciences.","Lab","Short for laboratory. A place where tests are done."
"185","23-2091","23-2091.00","Court Reporters","Reporters use methods and equipment to exactly copy what is said in court. They do so for trials and hearings. Some use special computer equipment. Some type the closed captions used on TV broadcasts for deaf viewers.","Reporters use methods and equipment to exactly copy what is said in court. They do so for trials and hearings. Some use special computer equipment. Some type the closed captions used on TV broadcasts for deaf viewers.","Closed captions","Typed copy of spoken words."
"186","25-1194","25-1194.00","Vocational Education Teachers, Postsecondary","Vocational teachers work with students who have left high school. They train students for jobs in the workforce. They teach them how to use equipment and machines. They train students for certain careers. Some teach at public or private schools. Some teach in schools linked to trades.","Vocational teachers work with students who have left high school. They train students for jobs in the workforce. They teach them how to use equipment and machines. They train students for certain careers. Some teach at public or private schools. Some teach in schools linked to trades.","Vocational","Having to do with a job or the workforce."
"187","25-2011","25-2011.00","Preschool Teachers, Except Special Education","Teachers work with children too young for grade school. They teach in preschools, day care centers, or other childcare settings. They help children get ready for grade school. Teachers may need to hold a state certificate.","Teachers work with children too young for grade school. They teach in preschools, day care centers, or other childcare settings. They help children get ready for grade school. Teachers may need to hold a state certificate.",NA,NA
"188","25-9041","25-9041.00","Teacher Assistants","Helpers work with teachers, students, and parents. Teachers give helpers tasks to do in the classroom.","Helpers work with teachers, students, and parents. Teachers give helpers tasks to do in the classroom.",NA,NA
"189","27-1026","27-1026.00","Merchandise Displayers and Window Trimmers","Workers plan and set up displays. They set up goods in windows, inside stores, and at trade shows.","Workers plan and set up displays. They set up goods in windows, inside stores, and at trade shows.","Displays","Things set up for show."
"190","27-2023","27-2023.00","Umpires, Referees, and Other Sports Officials","Officials work at sporting events. They start and stop play. They make sure players follow the rules of the game. They give out penalties when rules are broken. Some judge contests and pick winners. Some keep score.","Officials work at sporting events. They start and stop play. They make sure players follow the rules of the game. They give out penalties when rules are broken. Some judge contests and pick winners. Some keep score.","Penalty","A punishment for breaking the rules."
"191","27-4011","27-4011.00","Audio and Video Equipment Technicians","Workers set up and use audio and video equipment. That includes microphones, speakers, screens, sound boards, and more. Some set up and use spotlights. They work at concerts, sporting events, large meetings, and elsewhere.","Workers set up and use audio and video equipment. That includes microphones, speakers, screens, sound boards, and more. Some set up and use spotlights. They work at concerts, sporting events, large meetings, and elsewhere.","Audio","Sound recordings."
"192","27-4014","27-4014.00","Sound Engineering Technicians","Workers use equipment to record and mix music, voices, and sound effects. Some work in theaters. Some work in recording studios. Some work at sporting events. Some work on TV and movie sets.  ","Workers use equipment to record and mix music, voices, and sound effects. Some work in theaters. Some work in recording studios. Some work at sporting events. Some work on TV and movie sets.  ","Recording studios","Places where music is recorded."
